key_osm	value_osm	tag_id	tag_ja
operator	Alabama and Gulf Coast Railway	2010490043	アラバマ・アンド・ガルフ・コースト鉄道
sport	american_football;soccer	2010680003	american_football、サッカー、スポーツ
species	Araucaria heterophylla	2010970036	ノーフォークマツの種
operator	Arizona Public Service	2010490111	Arizona Public Service Company
operator	Arizona Public Service Company	2010490111	Arizona Public Service Company
operator	Arkansas and Missouri Railroad	2010490112	Arkansas and Missouri Railroad
species:en	Australian Tea Tree	2012480008	オーストラリアのティーツリーの種：アン
operator	Autoroutes du Sud de la France	2010490171	Autoroutes du Sud de la France
crop	bananas,_papapyas,_mangos	2012070006	バナナ、_papapyas、_mangos作物
operator	Bank of the Philippine Islands	2010490233	Bank of the Philippine Islands
operator	Bayerische Forstverwaltung	2010490256	Bavarian Forest Administration
species	Betula ermanii 'Blush'	2010970043	シラカンバのダケカンバ「ブラッシュ」の種
operator	Secretaría de Educación de Boyacá	2010490331	Boyaca Department of Education
operator	Brescia Trasporti SpA	2010490346	ブレシアTrasportiスパオペレーター
operator	Brisbane City Council	2010490351	ブリスベン市議会演算子
operator	Bryan Texas Utilities	2010490358	ブライアンテキサスユーティリティオペレータ
operator	Bureau of Meteorology	2010490369	気象事業者の局
species	Camellia sinensis (L.)	2010970050	カメリアシネンシス（L.）の種
building:material	canvas;metal	2011050009	キャンバス;金属の建物：材料
operator	Université catholique de Louvain	2010490427	ルーヴェンカトリック大学
building:material	cement block	2011050011	セメントブロックの建物：材料
office	charity	2011420007	慈善団体事務所
operator	Chicago Park District	2010490463	シカゴ公園局のオペレータ
cuisine	chinese;fish_and_chips	2011180040	中国、料理をfish_and_chips
traffic_calming	choker;cushion	2011580004	チョーカー、クッションtraffic_calming
surface	concrete painted white	2010080040	コンクリートの塗装白、表面
operator	Conrail Shared Assets	2010490529	コンレール共有アセットオペレータ
office	cooperative	2011420014	協同組合事務所
species	Crataegus X prunifolia	2010970109	セイヨウサンザシXのprunifolia種
species	Cupressus sempervirens	2010970114	イトスギは種をsempervirens
